iso3;country;disease;animal_category;species;disease_notification;targeted_surveillance;general_surveillance;screening;precautions_at_the_borders;slaughter;selective_killing_and_disposal;zoning;official_vaccination;last_outbreak_end_date;commerce_illegal;commerce_legal;data_source
SAU;Saudi Arabia;Brucella abortus (Inf. with);Domestic;Cattle;0;1;0;0;0;1;1;1;1;;0;0;App default
SVN;Slovenia;Brucella abortus (Inf. with);Domestic;Cattle;0;0;1;1;0;0;0;1;1;;0;0;App default
SOM;Somalia;Brucella abortus (Inf. with);Domestic;Cattle;0;1;0;1;0;1;1;1;1;;0;0;App default
SWE;Sweden;Brucella abortus (Inf. with);Domestic;Cattle;0;1;0;0;0;1;1;1;1;;0;0;App default
CHE;Switzerland;Brucella abortus (Inf. with);Domestic;Cattle;0;0;0;1;1;1;0;1;1;;0;0;App default
TUR;Türkiye (Rep. of);Brucella abortus (Inf. with);Domestic;Cattle;0;0;0;0;0;0;1;1;0;;0;0;App default
UKR;Ukraine;Brucella abortus (Inf. with);Domestic;Cattle;0;0;0;1;0;1;1;1;1;;0;0;App default
GBR;United Kingdom;Brucella abortus (Inf. with);Domestic;Cattle;0;0;1;0;0;1;1;1;1;;0;0;App default
URY;Uruguay;Brucella abortus (Inf. with);Domestic;Cattle;0;0;0;1;0;0;1;0;0;;0;0;App default
ARG;Argentina;Brucella abortus (Inf. with);Domestic;Cattle;1;0;0;0;0;1;0;0;0;;0;0;App default
BTN;Bhutan;Brucella abortus (Inf. with);Domestic;Cattle;1;0;0;0;0;1;1;1;1;;0;0;App default
COK;Cook Islands;Brucella abortus (Inf. with);Domestic;Cattle;1;1;0;1;0;1;1;1;0;;0;0;App default
MLI;Mali;Brucella abortus (Inf. with);Domestic;Cattle;1;1;0;1;1;1;1;1;1;;0;0;App default
TZA;Tanzania;Brucella abortus (Inf. with);Domestic;Cattle;1;0;0;1;1;0;1;1;0;;0;0;App default
